,emp_title,experience_years,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,total_collection_amount_ever,num_open_cc_accounts,num_cc_carrying_balance,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,has_delinquency,has_balance,has_tax_lien
881,director,0.0,CA,OWN,150000.0,Source Verified,9.16,1,1987,2,27,10,835975,96806,0,0,8,6,0,0,other,individual,18000,60,9.44,377.51,B,B1,Jan-2018,Fully Paid,whole,Cash,0.0,Has Delinquencies,True,0
882,owner ,5.0,WV,OWN,22000.0,Source Verified,8.24,0,2014,1,4,3,7300,4809,0,0,3,3,0,0,credit_card,individual,8000,36,11.99,265.68,B,B5,Jan-2018,Current,whole,Cash,7052.52,No Delinquencies,True,0
883,truck driver,1.0,AL,MORTGAGE,52000.0,Source Verified,23.38,0,2007,1,20,8,132168,29729,0,170,4,2,0,0,debt_consolidation,individual,20000,60,13.59,461.13,C,C2,Jan-2018,Current,whole,Cash,18799.98,No Delinquencies,True,0
884,machine operator,5.0,IN,OWN,50000.0,Not Verified,17.26,0,2013,2,14,9,39289,22712,0,0,7,3,0,0,credit_card,individual,9000,36,7.97,281.91,A,A5,Feb-2018,Current,whole,Cash,8102.57,No Delinquencies,True,0
885,correctional probation sr officer,3.0,FL,RENT,38000.0,Verified,21.67,0,2006,1,21,13,147157,20931,0,0,8,4,0,0,debt_consolidation,individual,25000,60,16.02,608.22,C,C5,Jan-2018,Current,whole,Cash,23590.52,No Delinquencies,True,0
886,sr manager,0.0,CO,MORTGAGE,175000.0,Not Verified,15.55,0,1998,2,29,18,328627,115167,0,0,10,9,0,0,credit_card,individual,30000,60,12.62,676.78,C,C1,Jan-2018,Current,whole,Cash,28155.2,No Delinquencies,True,0
887,owner,7.0,WA,RENT,175000.0,Not Verified,2.75,0,1990,0,16,5,64000,5939,0,0,4,2,0,0,home_improvement,individual,7000,36,5.32,210.81,A,A1,Jan-2018,Current,whole,Cash,6276.1,No Delinquencies,True,0
888,nurse practitioner,3.0,NC,RENT,65000.0,Source Verified,4.1,0,2000,0,12,4,20500,12101,0,0,4,4,0,0,debt_consolidation,individual,15000,36,7.97,469.84,A,A5,Feb-2018,Current,whole,Cash,13504.32,No Delinquencies,True,0
890,assistant office manager,3.0,AZ,RENT,30000.0,Not Verified,5.68,0,2012,1,9,6,23700,8511,0,0,6,5,0,0,debt_consolidation,individual,15000,36,11.98,498.08,B,B5,Mar-2018,Current,whole,Cash,14299.86,No Delinquencies,True,0
891,csr,4.0,AR,MORTGAGE,26000.0,Verified,72.16,0,2009,1,28,19,246481,61861,0,0,11,10,0,0,debt_consolidation,joint,16000,60,16.01,389.18,C,C5,Mar-2018,Current,whole,Cash,15646.23,No Delinquencies,True,0
892,production and warehouse,5.0,OR,OWN,23000.0,Source Verified,9.71,0,2011,0,13,4,35300,5163,0,0,4,2,0,0,credit_card,joint,16800,60,18.45,430.74,D,D2,Mar-2018,Current,whole,Cash,16274.69,No Delinquencies,True,0
893,call center manager,9.0,IL,OWN,39000.0,Source Verified,16.03,0,1999,5,37,17,202591,81781,0,0,14,4,0,0,credit_card,individual,11200,36,10.9,366.15,B,B4,Mar-2018,Current,fractional,Cash,10668.76,No Delinquencies,True,0
894,manager,6.0,VA,RENT,35000.0,Source Verified,11.56,0,2004,1,19,16,31000,4606,0,633,16,10,0,2,debt_consolidation,individual,11000,36,9.92,354.53,B,B2,Mar-2018,Current,fractional,Cash,10202.65,No Delinquencies,True,0
896,fleet manager,6.0,CA,RENT,80000.0,Not Verified,19.97,0,2001,0,12,8,53150,26013,0,0,7,5,0,0,credit_card,individual,30000,60,11.99,667.19,B,B5,Feb-2018,Current,whole,Cash,28508.06,No Delinquencies,True,0
898,project manager ,10.0,NJ,OWN,90000.0,Source Verified,12.07,0,2001,3,37,14,311437,54288,0,0,11,2,0,0,debt_consolidation,joint,17600,60,10.9,381.79,B,B4,Mar-2018,Current,whole,Cash,17103.55,No Delinquencies,True,0
899,manager,6.0,CA,OWN,45001.0,Not Verified,11.52,0,2011,1,9,3,15000,13186,0,0,2,2,0,0,medical,individual,18000,36,20.39,672.53,D,D4,Mar-2018,Current,whole,Cash,16881.16,No Delinquencies,True,0
900,teacher,10.0,NY,MORTGAGE,59182.0,Source Verified,19.81,2,2003,2,13,7,185847,48874,0,0,4,3,0,0,credit_card,individual,19000,36,9.44,608.1,B,B1,Jan-2018,Current,whole,Cash,16670.47,Has Delinquencies,True,0
901,physical therapist,3.0,OH,MORTGAGE,63000.0,Source Verified,16.32,0,2002,0,32,11,344508,127479,0,0,6,5,0,0,debt_consolidation,joint,28800,60,9.44,604.01,B,B1,Jan-2018,Current,whole,Cash,26882.82,No Delinquencies,True,0
903,detailer,0.0,CA,RENT,25000.0,Source Verified,19.54,0,2013,1,5,4,15489,6960,0,0,3,2,0,0,major_purchase,individual,15000,36,16.01,527.43,C,C5,Mar-2018,Current,whole,Cash,14004.93,No Delinquencies,True,0
905,owner principle broker ,10.0,OR,MORTGAGE,132323.0,Source Verified,0.0,0,2003,0,23,6,454600,0,0,0,4,0,0,0,other,individual,10000,60,10.9,216.93,B,B4,Mar-2018,Current,whole,Cash,9746.66,No Delinquencies,False,0
906,business analyst,2.0,MD,RENT,100000.0,Not Verified,2.95,0,2007,4,12,8,76500,5783,0,0,8,7,0,0,credit_card,individual,10000,36,6.71,307.45,A,A3,Mar-2018,Current,whole,Cash,9495.53,No Delinquencies,True,0
907,customer service representative ,4.0,AZ,OWN,67000.0,Source Verified,18.25,0,2003,0,14,10,239814,23243,0,0,8,6,0,1,debt_consolidation,individual,10000,36,9.43,320.01,B,B1,Mar-2018,Current,whole,Cash,9270.01,No Delinquencies,True,0
909,banker,5.0,NJ,RENT,75000.0,Source Verified,14.83,2,2012,0,9,6,38958,22488,0,0,4,1,0,0,debt_consolidation,individual,20000,36,10.9,653.83,B,B4,Mar-2018,Current,whole,Cash,19051.38,Has Delinquencies,True,0
910,process operator,10.0,WY,RENT,90000.0,Not Verified,11.57,0,2010,0,13,8,38667,21543,0,0,4,4,1,0,debt_consolidation,individual,11000,60,16.02,267.62,C,C5,Feb-2018,Fully Paid,whole,Cash,0.0,No Delinquencies,True,1
911,1sg,10.0,NC,MORTGAGE,78000.0,Verified,33.52,0,2000,2,23,9,418306,97701,0,0,5,3,0,0,debt_consolidation,individual,21275,36,14.08,727.96,C,C3,Jan-2018,Current,whole,Cash,19327.72,No Delinquencies,True,0
912,manager,2.0,AZ,RENT,30000.0,Not Verified,14.32,0,2012,3,7,4,25687,10351,0,1196,3,2,0,0,debt_consolidation,individual,5000,36,10.91,163.49,B,B4,Jan-2018,Current,whole,Cash,4521.4,No Delinquencies,True,0
913,asst project coordinator,2.0,KS,OWN,40000.0,Source Verified,23.16,0,2004,0,13,8,88949,85622,0,0,6,2,0,0,credit_card,individual,18000,36,7.34,558.6,A,A4,Mar-2018,Current,whole,DirectPay,17100.26,No Delinquencies,True,0
914,plant manager,10.0,NJ,MORTGAGE,75000.0,Source Verified,27.63,0,2001,1,14,6,95032,40414,0,0,4,4,0,0,debt_consolidation,joint,31100,60,9.92,659.56,B,B2,Mar-2018,Current,whole,Cash,30291.74,No Delinquencies,True,0
915,dog groomer,10.0,AZ,RENT,50000.0,Source Verified,16.75,1,2005,0,17,10,237699,20149,0,0,8,6,0,0,other,individual,8000,36,23.88,313.36,E,E2,Feb-2018,Current,fractional,Cash,7365.88,Has Delinquencies,True,0
919,youthdevelopment,3.0,IN,MORTGAGE,40000.0,Not Verified,20.85,0,2003,0,12,8,100370,8187,0,0,5,2,0,0,medical,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4364.17,No Delinquencies,True,0
920,bartender/manager,3.0,GA,RENT,50000.0,Verified,32.19,0,2008,1,14,12,74670,67420,0,0,9,10,0,0,debt_consolidation,individual,18000,36,21.45,682.32,D,D5,Mar-2018,Current,whole,Cash,16898.84,No Delinquencies,True,0
921,foreman,10.0,CA,MORTGAGE,70000.0,Not Verified,10.97,0,2003,1,30,10,560929,34417,0,0,8,3,0,0,debt_consolidation,joint,15000,60,13.59,345.85,C,C2,Jan-2018,Fully Paid,whole,Cash,0.0,No Delinquencies,True,0
922,assistant manager,0.0,NC,RENT,54000.0,Source Verified,11.11,0,2009,5,12,7,27224,16500,0,0,6,4,0,0,debt_consolidation,individual,2000,36,6.72,61.5,A,A3,Jan-2018,Current,whole,DirectPay,1509.42,No Delinquencies,True,0
923,right of way agent,7.0,LA,RENT,77100.0,Verified,22.35,0,2005,0,12,7,57500,32380,0,0,5,3,0,0,debt_consolidation,individual,14000,60,15.04,333.36,C,C4,Mar-2018,Current,whole,Cash,13682.23,No Delinquencies,True,0
924,manager,6.0,CA,RENT,36051.0,Not Verified,17.51,0,1999,3,25,16,29800,7861,0,200,14,9,0,1,credit_card,individual,6000,36,7.97,187.94,A,A5,Jan-2018,Current,whole,DirectPay,2000.0,No Delinquencies,True,0
925,production coordinator,10.0,NJ,MORTGAGE,45000.0,Source Verified,34.8,0,2002,3,22,10,461134,55904,0,0,6,5,0,0,debt_consolidation,joint,16000,60,13.59,368.9,C,C2,Jan-2018,Current,whole,Cash,15236.35,No Delinquencies,True,0
926,technician,3.0,NH,RENT,60000.0,Source Verified,3.16,0,2007,2,14,9,8900,3410,0,1414,7,5,0,1,major_purchase,individual,6000,36,9.44,192.03,B,B1,Jan-2018,Current,fractional,Cash,5264.37,No Delinquencies,True,0
927,manager,6.0,IN,RENT,0.0,Not Verified,,0,2001,5,6,5,10100,4225,0,0,5,2,0,0,credit_card,joint,5200,36,10.41,168.8,B,B3,Mar-2018,Current,whole,Cash,4825.7,No Delinquencies,True,0
928,driver/operator,10.0,VA,RENT,61000.0,Not Verified,14.7,0,2003,0,18,10,47642,21256,0,0,7,4,0,0,debt_consolidation,individual,1000,36,6.72,30.75,A,A3,Jan-2018,Current,fractional,Cash,872.83,No Delinquencies,True,0
929,sr project manager,5.0,MN,MORTGAGE,75000.0,Not Verified,1.89,0,2001,0,20,5,188550,3751,0,0,4,1,0,0,debt_consolidation,individual,3500,36,7.96,109.62,A,A5,Feb-2018,Current,whole,Cash,1397.3,No Delinquencies,True,0
930,owner,10.0,TX,OWN,48000.0,Not Verified,25.98,0,1983,0,11,9,452877,41355,0,0,7,5,0,0,home_improvement,joint,8000,36,9.44,256.04,B,B1,Feb-2018,Current,fractional,Cash,7218.41,No Delinquencies,True,0
931,sr manager operations support,0.0,CO,OWN,75000.0,Not Verified,8.83,0,2005,2,13,9,344696,33162,0,0,7,3,0,0,debt_consolidation,individual,4200,36,10.91,137.33,B,B4,Jan-2018,Current,fractional,Cash,3695.18,No Delinquencies,True,0
932,credit analyst,2.0,MO,RENT,47000.0,Verified,23.16,1,2011,0,24,15,148275,155346,0,0,2,2,0,0,debt_consolidation,individual,10400,60,18.45,266.65,D,D2,Mar-2018,Current,whole,Cash,10074.8,Has Delinquencies,True,0
933,owner,8.0,MO,OWN,9996.0,Source Verified,9.36,0,2006,2,13,5,23393,20619,0,504,4,2,0,0,debt_consolidation,individual,3500,36,13.58,118.91,C,C2,Mar-2018,Current,fractional,Cash,3259.39,No Delinquencies,True,0
934,runner,2.0,HI,RENT,42585.6,Verified,7.07,0,2000,2,14,2,5000,3415,0,0,2,2,0,0,credit_card,individual,12000,36,9.93,386.82,B,B2,Jan-2018,Current,whole,Cash,4470.4,No Delinquencies,True,0
935,manager,10.0,MD,MORTGAGE,70000.0,Not Verified,15.84,1,1987,2,15,8,251010,26178,0,0,6,4,0,0,debt_consolidation,individual,15500,36,9.44,496.08,B,B1,Jan-2018,Current,whole,Cash,13599.6,Has Delinquencies,True,0
937,faculty,6.0,OR,RENT,60000.0,Not Verified,12.46,0,1995,0,20,5,154033,146044,0,0,3,3,2,0,credit_card,individual,20000,60,12.62,451.19,C,C1,Feb-2018,Current,whole,Cash,19021.27,No Delinquencies,True,1
938,hr coordinator,10.0,LA,RENT,70000.0,Source Verified,5.81,0,2005,1,16,10,58069,15746,0,278,9,5,0,0,debt_consolidation,individual,10000,60,10.42,214.55,B,B3,Jan-2018,Current,whole,Cash,9350.23,No Delinquencies,True,0
939,stylist,3.0,NC,RENT,26000.0,Source Verified,37.07,0,1996,1,19,12,51961,30281,0,0,9,8,0,0,debt_consolidation,individual,6000,36,9.44,192.03,B,B1,Mar-2018,Current,whole,Cash,5562.08,No Delinquencies,True,0
940,legal assistant/paralegal,2.0,TN,RENT,54000.0,Not Verified,24.76,0,2001,5,25,12,89755,39279,0,0,8,3,0,0,other,individual,18000,60,10.9,390.47,B,B4,Mar-2018,Current,whole,Cash,17312.89,No Delinquencies,True,0
941,assistant service department manager ,10.0,CA,RENT,81000.0,Not Verified,22.61,0,2001,1,18,15,127098,39781,0,0,10,8,0,0,credit_card,individual,10000,60,6.72,196.7,A,A3,Jan-2018,Current,whole,DirectPay,9288.58,No Delinquencies,True,0
942,mixer operator,5.0,IL,MORTGAGE,50000.0,Verified,21.87,0,2013,4,13,8,153531,42055,0,0,4,1,0,0,debt_consolidation,individual,24000,60,26.77,729.56,E,E5,Mar-2018,Current,whole,Cash,23607.35,No Delinquencies,True,0
944,legal assistant,2.0,GA,RENT,56500.0,Source Verified,15.34,0,2006,0,17,4,60739,70911,0,0,2,2,0,0,credit_card,individual,11000,36,7.35,341.42,A,A4,Feb-2018,Current,whole,DirectPay,9893.71,No Delinquencies,True,0
945,medical assistant ,4.0,NV,RENT,37000.0,Not Verified,34.11,0,2002,0,18,11,81748,27882,0,0,7,5,0,0,debt_consolidation,individual,5000,36,6.07,152.27,A,A2,Feb-2018,Current,whole,Cash,4488.22,No Delinquencies,True,0
946,account manager,10.0,NH,MORTGAGE,50000.0,Source Verified,27.27,0,2004,0,33,12,126596,36637,0,0,10,9,0,0,debt_consolidation,joint,15000,36,6.72,461.24,A,A3,Jan-2018,Current,whole,Cash,13478.32,No Delinquencies,True,0
947,owner,9.0,TX,MORTGAGE,182000.0,Verified,17.27,1,2007,1,28,9,144750,109809,0,0,7,6,0,0,debt_consolidation,individual,40000,36,10.91,1307.85,B,B4,Jan-2018,Current,whole,Cash,35192.46,Has Delinquencies,True,0
948,flight attendant,3.0,TX,RENT,45000.0,Verified,13.04,0,2007,3,16,10,30300,14990,0,0,10,5,0,1,debt_consolidation,individual,18000,60,21.45,491.53,D,D5,Jan-2018,Current,whole,Cash,17120.2,No Delinquencies,True,0
949,fleet manager/route check in supervisor,10.0,IN,MORTGAGE,55000.0,Not Verified,53.65,0,1991,2,37,18,269535,77072,0,0,14,9,0,0,other,joint,27200,36,11.99,903.3,B,B5,Jan-2018,Current,whole,Cash,23978.63,No Delinquencies,True,0
950,lab technician ,9.0,NC,MORTGAGE,43000.0,Source Verified,28.38,1,1996,0,25,8,70121,33586,0,0,7,3,0,0,debt_consolidation,joint,30000,60,12.61,676.62,C,C1,Mar-2018,Current,whole,Cash,28904.46,Has Delinquencies,True,0
951,purchasing agent,3.0,MD,RENT,70000.0,Source Verified,12.24,0,2005,0,36,22,272878,373361,0,0,2,2,0,0,other,individual,7500,36,7.34,232.75,A,A4,Mar-2018,Current,fractional,Cash,6935.94,No Delinquencies,True,0
953,repair technician,10.0,WA,RENT,60500.0,Not Verified,7.34,0,2001,0,24,10,69120,44476,0,0,8,7,0,0,medical,individual,15000,36,7.35,465.57,A,A4,Jan-2018,Current,whole,Cash,13108.5,No Delinquencies,True,0
955,lead application soa architect,4.0,CA,RENT,195000.0,Source Verified,14.34,0,2008,0,13,9,113789,77261,0,0,7,7,0,0,credit_card,individual,40000,60,11.98,889.38,B,B5,Mar-2018,Current,whole,Cash,38515.13,No Delinquencies,True,0
957,manicurist,3.0,TX,MORTGAGE,65000.0,Not Verified,13.59,0,2006,1,17,9,88252,37299,0,0,8,4,0,0,credit_card,individual,20000,36,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18484.51,No Delinquencies,True,0
958,rn,10.0,MA,MORTGAGE,108000.0,Not Verified,18.4,0,1996,1,19,13,337041,38289,0,0,8,7,0,0,debt_consolidation,joint,25800,60,9.93,547.29,B,B2,Feb-2018,Current,whole,Cash,24448.15,No Delinquencies,True,0
959,teacher,6.0,GA,MORTGAGE,40000.0,Source Verified,16.26,0,2003,0,18,7,159510,31367,0,0,1,1,0,0,car,joint,12000,60,10.9,260.32,B,B4,Mar-2018,Current,fractional,Cash,11695.99,No Delinquencies,True,0
960,aircraft mechanic,3.0,NV,MORTGAGE,95000.0,Not Verified,12.44,0,2011,3,9,7,328319,31973,0,0,4,2,0,0,credit_card,individual,7000,36,6.07,213.18,A,A2,Feb-2018,Current,whole,Cash,6464.25,No Delinquencies,True,0
961,program officer,0.0,NC,RENT,73000.0,Not Verified,10.83,3,2003,2,26,8,56410,45378,2,170,6,4,0,0,credit_card,individual,8000,36,6.07,243.63,A,A2,Feb-2018,Current,whole,Cash,7123.34,Has Delinquencies,True,0
962,driller,10.0,FL,MORTGAGE,165000.0,Not Verified,7.16,1,2007,0,30,12,186100,41440,0,0,10,5,0,0,debt_consolidation,individual,25200,60,7.34,503.05,A,A4,Mar-2018,Current,whole,Cash,24146.85,Has Delinquencies,True,0
963,jeweler ,2.0,LA,OWN,46000.0,Source Verified,8.64,0,2014,0,11,9,17600,10400,0,0,9,7,0,0,credit_card,individual,12000,60,12.62,270.71,C,C1,Feb-2018,Current,whole,Cash,11412.78,No Delinquencies,True,0
964,bus driver,8.0,GA,MORTGAGE,15000.0,Not Verified,56.08,0,2007,1,24,9,23770,10917,0,0,6,4,0,0,debt_consolidation,joint,7775,36,18.45,282.85,D,D2,Mar-2018,Current,whole,Cash,7277.5,No Delinquencies,True,0
965,lead operator,2.0,CA,MORTGAGE,60000.0,Not Verified,11.5,0,2006,1,19,12,261386,20374,0,0,8,4,0,0,credit_card,individual,13000,36,6.71,399.69,A,A3,Mar-2018,Current,whole,Cash,12013.51,No Delinquencies,True,0
966,order manager,5.0,SC,OWN,42000.0,Verified,10.2,0,2003,0,5,4,16600,8213,0,0,3,3,0,0,house,individual,20000,60,15.04,476.22,C,C4,Feb-2018,Current,whole,Cash,19314.82,No Delinquencies,True,0
967,tech,3.0,NJ,MORTGAGE,38000.0,Not Verified,21.32,0,2007,1,11,6,46300,23741,0,0,4,2,0,0,debt_consolidation,individual,6500,36,7.35,201.75,A,A4,Jan-2018,Current,whole,Cash,5513.37,No Delinquencies,True,0
968,rn,1.0,VA,RENT,80000.0,Not Verified,27.05,0,2012,2,17,12,130575,41215,0,0,9,5,0,0,debt_consolidation,individual,24000,60,11.99,533.75,B,B5,Jan-2018,Current,whole,Cash,22500.58,No Delinquencies,True,0
969,project manager,10.0,KY,MORTGAGE,65000.0,Source Verified,4.28,0,1996,1,41,14,164664,54820,0,0,11,3,0,1,debt_consolidation,individual,4000,36,6.72,123.0,A,A3,Jan-2018,Current,whole,Cash,3491.33,No Delinquencies,True,0
971,electrical assembler,1.0,IN,OWN,45000.0,Verified,13.71,0,2014,3,8,7,35854,10630,0,0,3,2,0,0,house,individual,28000,36,20.0,1040.59,D,D4,Feb-2018,In Grace Period,whole,Cash,26249.37,No Delinquencies,True,0
972,general manager,1.0,FL,RENT,300000.0,Not Verified,8.68,0,1987,2,45,17,1016281,51220,0,0,11,9,0,0,debt_consolidation,individual,20000,36,6.71,614.9,A,A3,Feb-2018,Current,whole,Cash,17312.15,No Delinquencies,True,0
973,designer,10.0,GA,MORTGAGE,56000.0,Not Verified,14.59,0,2000,0,25,14,197745,14530,0,0,11,2,0,0,credit_card,individual,3025,36,6.08,92.14,A,A2,Jan-2018,Current,whole,Cash,2637.02,No Delinquencies,True,0
974,chaplain/bereavement,6.0,CA,MORTGAGE,78000.0,Source Verified,4.86,1,1999,4,26,8,586203,17050,0,0,6,3,0,0,debt_consolidation,individual,9000,36,7.96,281.87,A,A5,Mar-2018,Current,whole,Cash,8329.06,Has Delinquencies,True,0
975,compliance specialist ii,10.0,VA,OWN,69000.0,Not Verified,16.73,0,1987,0,13,5,57420,48167,0,0,4,2,0,0,credit_card,individual,25000,36,6.07,761.35,A,A2,Mar-2018,Current,whole,Cash,23727.01,No Delinquencies,True,0
976,tax director,6.0,MA,RENT,205000.0,Source Verified,8.14,0,2000,3,22,9,164382,138544,0,0,7,5,0,0,credit_card,individual,30000,36,7.34,930.99,A,A4,Mar-2018,Current,whole,Cash,28500.44,No Delinquencies,True,0
977,research faculty associate,8.0,CA,RENT,86000.0,Not Verified,12.14,0,1990,2,16,9,80200,25908,0,0,8,5,0,0,credit_card,individual,16000,60,9.93,339.41,B,B2,Feb-2018,Current,whole,Cash,15161.63,No Delinquencies,True,0
978,supervisor,10.0,NJ,MORTGAGE,69000.0,Verified,16.49,0,2002,4,13,8,389982,43340,0,0,6,6,0,0,credit_card,individual,25000,36,10.91,817.41,B,B4,Jan-2018,Current,whole,DirectPay,22607.14,No Delinquencies,True,0
979,executive assistant to the director,2.0,DC,RENT,66000.0,Verified,17.49,0,2004,3,10,7,52040,32376,0,0,5,4,0,0,credit_card,individual,17000,60,16.02,413.59,C,C5,Jan-2018,Current,whole,Cash,16041.55,No Delinquencies,True,0
980,production manager,10.0,UT,RENT,98560.0,Verified,5.92,0,1997,4,24,12,22650,7144,0,0,10,7,0,1,debt_consolidation,individual,18000,60,17.47,451.91,D,D1,Mar-2018,Current,whole,Cash,16905.13,No Delinquencies,True,0
982,vice president sales,10.0,TX,MORTGAGE,150000.0,Verified,21.92,0,1994,2,29,10,536912,66643,0,0,6,1,0,0,debt_consolidation,individual,24725,36,6.08,753.08,A,A2,Jan-2018,Current,whole,Cash,21554.0,No Delinquencies,True,0
983,owner,4.0,NE,MORTGAGE,65000.0,Not Verified,24.48,1,2006,0,16,5,122690,68873,0,0,2,2,0,0,debt_consolidation,individual,9000,36,21.85,343.02,D,D5,Feb-2018,Current,whole,Cash,8263.61,Has Delinquencies,True,0
984,nurse,10.0,FL,MORTGAGE,59200.0,Source Verified,8.72,1,2007,1,14,7,142947,7100,0,0,5,4,0,0,home_improvement,individual,20000,60,16.01,486.47,C,C5,Mar-2018,Current,whole,Cash,19332.26,Has Delinquencies,True,0
985,forlkift opperator,10.0,NJ,RENT,56800.0,Not Verified,17.87,1,2001,0,7,5,31300,17408,0,0,3,3,0,0,home_improvement,individual,5000,36,10.91,163.49,B,B4,Jan-2018,Current,fractional,Cash,4399.01,Has Delinquencies,True,0
986,manager,2.0,RI,MORTGAGE,80000.0,Source Verified,23.27,0,2002,3,20,15,236293,50928,0,0,10,5,0,0,house,individual,12000,60,15.05,285.8,C,C4,Feb-2018,Current,whole,Cash,11448.53,No Delinquencies,True,0
990,command master chief,10.0,VA,MORTGAGE,105000.0,Source Verified,17.3,1,2000,1,35,13,311303,66893,0,0,7,5,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,Mar-2018,In Grace Period,whole,Cash,9518.75,Has Delinquencies,True,0
991,investment & planning analyst,3.0,OH,RENT,40000.0,Not Verified,13.14,0,2010,1,19,10,83086,68717,0,0,8,3,0,0,debt_consolidation,individual,3600,36,9.44,115.22,B,B1,Feb-2018,Current,whole,Cash,3248.27,No Delinquencies,True,0
992,community bank president,3.0,CO,MORTGAGE,142500.0,Source Verified,10.26,0,2002,0,39,12,416708,80187,0,0,9,6,0,1,debt_consolidation,individual,40000,60,9.93,848.51,B,B2,Feb-2018,Current,whole,Cash,37904.12,No Delinquencies,True,0
993,manager,9.0,GA,MORTGAGE,103500.0,Source Verified,30.01,0,1995,0,19,12,223800,63075,0,0,7,4,0,1,debt_consolidation,individual,25000,36,10.41,811.51,B,B3,Mar-2018,Current,fractional,Cash,23200.57,No Delinquencies,True,0
994,owner,4.0,CA,RENT,60000.0,Not Verified,13.3,0,2002,0,21,10,51600,17498,0,0,7,2,0,1,credit_card,individual,12000,36,6.71,368.94,A,A3,Mar-2018,Current,fractional,Cash,11089.41,No Delinquencies,True,0
995,hot end fiberizer,10.0,GA,RENT,90000.0,Not Verified,8.95,0,2006,0,23,6,38365,23410,0,597,5,5,0,0,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,Jan-2018,Current,fractional,Cash,8519.29,No Delinquencies,True,0
996,messenger,8.0,FL,RENT,71000.0,Not Verified,30.16,0,2005,0,28,11,94696,57182,0,0,8,7,0,0,debt_consolidation,individual,10000,36,9.93,322.35,B,B2,Feb-2018,Current,whole,Cash,9029.63,No Delinquencies,True,0
997,manager,6.0,MI,MORTGAGE,70000.0,Not Verified,3.91,0,1997,0,21,8,194300,15487,0,0,7,5,0,0,major_purchase,individual,16000,36,5.31,481.77,A,A1,Mar-2018,Current,whole,Cash,14761.63,No Delinquencies,True,0
998,jrotc instructor ,1.0,CA,MORTGAGE,135500.0,Verified,24.01,0,1999,5,38,17,778755,127955,0,0,11,5,0,0,debt_consolidation,individual,25000,36,10.9,817.29,B,B4,Mar-2018,Current,fractional,Cash,23814.22,No Delinquencies,True,0
999,relationship manager ,2.0,AZ,RENT,44346.0,Verified,20.27,1,2006,1,10,8,31242,21805,0,0,4,3,0,0,debt_consolidation,individual,4800,36,23.87,188.0,E,E2,Mar-2018,Current,fractional,Cash,4516.88,Has Delinquencies,True,0
1000,staff rn 2,10.0,CA,MORTGAGE,120000.0,Not Verified,17.81,0,1998,3,29,20,474829,38032,0,0,17,9,0,0,home_improvement,individual,20000,36,5.32,602.3,A,A1,Feb-2018,Current,fractional,Cash,18452.87,No Delinquencies,True,0
1001,systems technician,3.0,CA,RENT,50000.0,Verified,29.44,0,1997,2,15,8,43150,23112,0,0,6,5,0,1,debt_consolidation,individual,15000,36,18.06,542.74,D,D2,Jan-2018,Current,whole,Cash,13366.62,No Delinquencies,True,0
1002,account manager,5.0,TX,MORTGAGE,46000.0,Verified,28.8,0,2005,0,16,11,223276,30839,0,0,8,4,0,0,debt_consolidation,individual,9300,36,22.9,359.52,E,E1,Feb-2018,Current,fractional,Cash,8743.38,No Delinquencies,True,0
1003,gm manager,10.0,MI,MORTGAGE,140000.0,Verified,10.47,1,2002,2,23,15,534435,26373,0,0,9,7,0,0,debt_consolidation,individual,21000,36,9.93,676.93,B,B2,Jan-2018,Late (16-30 days),fractional,Cash,18963.53,Has Delinquencies,True,0
1004,retired,3.0,NY,OWN,87000.0,Not Verified,31.42,0,1981,2,39,16,338448,83658,0,0,11,4,0,0,credit_card,individual,13000,60,5.31,247.18,A,A1,Mar-2018,Current,whole,DirectPay,12428.51,No Delinquencies,True,0
1005,master certified spanish interpreter ,10.0,NC,OWN,67200.0,Verified,37.73,0,2005,1,17,11,240910,48400,0,0,4,4,2,1,debt_consolidation,joint,9600,36,19.42,353.94,D,D3,Mar-2018,Current,whole,Cash,9199.63,No Delinquencies,True,1
1006,president of media division,1.0,MA,MORTGAGE,320000.0,Source Verified,21.88,0,1995,5,29,17,373689,280414,0,0,7,7,0,0,debt_consolidation,individual,35000,60,26.3,1054.15,E,E5,Feb-2018,In Grace Period,whole,Cash,34119.79,No Delinquencies,True,0
1007,general manager,10.0,FL,RENT,52499.2,Verified,26.29,1,2001,0,21,17,78177,19619,0,0,15,10,0,0,debt_consolidation,individual,12000,36,21.45,454.88,D,D5,Feb-2018,Current,fractional,Cash,9052.78,Has Delinquencies,True,0
1008,asst manager ,1.0,CT,MORTGAGE,36000.0,Verified,41.93,0,1998,1,18,12,202120,44082,0,0,8,8,0,0,debt_consolidation,joint,6050,36,26.3,244.73,E,E5,Jan-2018,Current,fractional,Cash,5464.21,No Delinquencies,True,0
